BBC,https://www.bbc.com/news/uk-54373904
BBC,https://www.bbc.com/news/uk-51768274
BBC,https://www.bbc.com/news/health-54545490
BBC,https://www.bbc.com/news/explainers-52530518
BBC,https://www.bbc.com/news/health-54528983
BBC,https://www.bbc.com/news/uk-54584583
BBC,https://www.bbc.com/news/newsbeat-54540188
New Scientist,https://www.newscientist.com/article/2237475-covid-19-news-record-low-percentage-of-contacts-traced-in-england/
NHS,https://www.nhs.uk/conditions/coronavirus-covid-19/
Travel Health Pro,https://travelhealthpro.org.uk/news/499/novel-coronavirus-covid-19-general-advice-for-travellers
UK Gov,https://www.gov.uk/coronavirus
cdc,https://wwwnc.cdc.gov/travel/notices/warning/coronavirus-united-kingdom
Express,https://www.express.co.uk/news/uk/1349062/jeremy-corbyn-news-jeremy-corbyn-coronavirus-rule-break-party-corbyn-pictures
Express,https://www.express.co.uk/news/uk/1349046/coronavirus-latest-news-schools-boris-johnson-circuit-breaker-half-term
Express,https://www.express.co.uk/news/royal/1349086/Queen-health-queen-Elizabeth-ii-coronavirus-vaccine-royal-family-news-evg
Express,https://www.express.co.uk/news/uk/1349063/coronavirus-news-scientists-Christmas-vaccine-tests-covid-19
Daily Mail,https://www.dailymail.co.uk/news/article-8851195/Global-coronavirus-cases-rise-400-000-one-day-time.html
Daily Mail,https://www.dailymail.co.uk/debate/article-8851059/LORD-SUMPTION-Im-meet-person-plans-obey-mixing-ban.html
Daily Mail,https://www.dailymail.co.uk/debate/article-8850815/DAN-HODGES-follow-science-scientists-havent-foggiest.html
Daily Mail,https://www.dailymail.co.uk/health/article-8850511/Is-tracking-super-spreader-REAL-key-beating-Covid-19.html
Daily Mail,https://www.dailymail.co.uk/travel/travel_news/article-8850017/How-navigate-new-rules-travel-coronavirus-era.html
Daily Star,https://www.dailystar.co.uk/news/latest-news/brits-told-self-isolate-nhs-22863389
Daily Star,https://www.dailystar.co.uk/news/anti-lockdown-protesters-swarm-london-22862755
Daily Star,https://www.dailystar.co.uk/news/latest-news/breaking-wales-face-two-week-22862617
Daily Star,https://www.dailystar.co.uk/news/latest-news/queen-used-government-boost-public-22862288
Daily Star,https://www.dailystar.co.uk/news/latest-news/harrowing-video-shows-coronavirus-patients-22860826
Standard,https://www.standard.co.uk/news/uk/uk-coronavirus-cases-today-deaths-a4572002.html
Standard,https://www.standard.co.uk/news/uk/uk-coronavirus-live-latest-updates-london-tier-2-lockdown-lancashire-a4571981.html
Standard,https://www.standard.co.uk/news/uk/wales-circuitbreaker-lockdown-friday-a4572006.html
